Line 1:1 - IMPORT (import)
Line 1:8 - STRING_LIT ("templateTest.zn")
Line 2:1 - CLASS (class)
Line 2:7 - IDENTIFIER (EmptyClass)
Line 2:18 - LBRACE ({)
Line 2:19 - RBRACE (})
Line 3:1 - CLASS (class)
Line 3:7 - IDENTIFIER (Person)
Line 3:14 - LBRACE ({)
Line 4:5 - PRIVATEW (privatew)
Line 4:14 - STRING (string)
Line 4:21 - IDENTIFIER (name)
Line 4:25 - SEMICOLON (;)
Line 5:5 - PROTECTEDW (protectedw)
Line 5:16 - INT (int)
Line 5:20 - IDENTIFIER (age)
Line 5:23 - SEMICOLON (;)
Line 6:5 - PUBLIC (public)
Line 6:12 - DOUBLE (double)
Line 6:19 - IDENTIFIER (height)
Line 6:25 - SEMICOLON (;)
Line 7:1 - RBRACE (})
Line 8:1 - CLASS (class)
Line 8:7 - IDENTIFIER (Calculator)
Line 8:18 - LBRACE ({)
Line 9:5 - PUBLIC (public)
Line 9:12 - INT (int)
Line 9:16 - IDENTIFIER (add)
Line 9:19 - LPAREN (()
Line 9:20 - INT (int)
Line 9:24 - IDENTIFIER (a)
Line 9:25 - COMMA (,)
Line 9:27 - INT (int)
Line 9:31 - IDENTIFIER (b)
Line 9:32 - RPAREN ())
Line 9:34 - LBRACE ({)
Line 10:9 - RETURN (return)
Line 10:16 - IDENTIFIER (a)
Line 10:18 - PLUS (+)
Line 10:20 - IDENTIFIER (b)
Line 10:21 - SEMICOLON (;)
Line 11:5 - RBRACE (})
Line 13:5 - PROTECTED (protected)
Line 13:15 - DOUBLE (double)
Line 13:22 - IDENTIFIER (sqrt)
Line 13:26 - LPAREN (()
Line 13:27 - DOUBLE (double)
Line 13:34 - IDENTIFIER (num)
Line 13:37 - RPAREN ())
Line 13:39 - LBRACE ({)
Line 14:9 - RETURN (return)
Line 14:16 - IDENTIFIER (num)
Line 14:20 - STAR (*)
Line 14:22 - IDENTIFIER (num)
Line 14:25 - SEMICOLON (;)
Line 15:5 - RBRACE (})
Line 16:1 - RBRACE (})
Line 17:1 - CLASS (class)
Line 17:7 - IDENTIFIER (Vehicle)
Line 17:15 - LBRACE ({)
Line 18:5 - PRIVATEW (privatew)
Line 18:14 - STRING (string)
Line 18:21 - IDENTIFIER (model)
Line 18:26 - SEMICOLON (;)
Line 19:5 - PUBLIC (public)
Line 19:12 - INT (int)
Line 19:16 - IDENTIFIER (year)
Line 19:20 - SEMICOLON (;)
Line 21:5 - PUBLIC (public)
Line 21:12 - IDENTIFIER (Vehicle)
Line 21:19 - LPAREN (()
Line 21:20 - STRING (string)
Line 21:27 - IDENTIFIER (model)
Line 21:32 - COMMA (,)
Line 21:34 - INT (int)
Line 21:38 - IDENTIFIER (year)
Line 21:42 - RPAREN ())
Line 21:44 - LBRACE ({)
Line 22:9 - THIS (this)
Line 22:13 - DOT (.)
Line 22:14 - IDENTIFIER (model)
Line 22:20 - EQUAL (=)
Line 22:22 - IDENTIFIER (model)
Line 22:27 - SEMICOLON (;)
Line 23:9 - THIS (this)
Line 23:13 - DOT (.)
Line 23:14 - IDENTIFIER (year)
Line 23:19 - EQUAL (=)
Line 23:21 - IDENTIFIER (year)
Line 23:25 - SEMICOLON (;)
Line 24:5 - RBRACE (})
Line 25:1 - RBRACE (})
Line 26:1 - CLASS (class)
Line 26:7 - IDENTIFIER (Animal)
Line 26:14 - LBRACE ({)
Line 27:5 - PROTECTEDW (protectedw)
Line 27:16 - STRING (string)
Line 27:23 - IDENTIFIER (species)
Line 27:30 - SEMICOLON (;)
Line 28:1 - RBRACE (})
Line 30:1 - CLASS (class)
Line 30:7 - IDENTIFIER (Cat)
Line 30:11 - COLON (:)
Line 30:13 - IDENTIFIER (Animal)
Line 30:20 - LBRACE ({)
Line 31:5 - PRIVATEW (privatew)
Line 31:14 - STRING (string)
Line 31:21 - IDENTIFIER (name)
Line 31:25 - SEMICOLON (;)
Line 33:5 - PUBLIC (public)
Line 33:12 - IDENTIFIER (Cat)
Line 33:15 - LPAREN (()
Line 33:16 - STRING (string)
Line 33:23 - IDENTIFIER (name)
Line 33:27 - RPAREN ())
Line 33:29 - LBRACE ({)
Line 34:9 - THIS (this)
Line 34:13 - DOT (.)
Line 34:14 - IDENTIFIER (name)
Line 34:19 - EQUAL (=)
Line 34:21 - IDENTIFIER (name)
Line 34:25 - SEMICOLON (;)
Line 35:9 - THIS (this)
Line 35:13 - DOT (.)
Line 35:14 - IDENTIFIER (species)
Line 35:22 - EQUAL (=)
Line 35:24 - STRING_LIT ("Felis catus")
Line 35:37 - SEMICOLON (;)
Line 36:5 - RBRACE (})
Line 37:1 - RBRACE (})
Line 38:1 - CLASS (class)
Line 38:7 - IDENTIFIER (BankAccount)
Line 38:19 - LBRACE ({)
Line 39:5 - PRIVATEW (privatew)
Line 39:14 - DOUBLE (double)
Line 39:21 - IDENTIFIER (balance)
Line 39:28 - SEMICOLON (;)
Line 40:5 - PUBLIC (public)
Line 40:12 - CONST (const)
Line 40:18 - STRING (string)
Line 40:25 - IDENTIFIER (accountNumber)
Line 40:38 - SEMICOLON (;)
Line 41:5 - PROTECTEDW (protectedw)
Line 41:16 - STRING (string)
Line 41:23 - IDENTIFIER (owner)
Line 41:28 - SEMICOLON (;)
Line 43:5 - PUBLIC (public)
Line 43:12 - IDENTIFIER (BankAccount)
Line 43:23 - LPAREN (()
Line 43:24 - STRING (string)
Line 43:31 - IDENTIFIER (accountNumber)
Line 43:44 - COMMA (,)
Line 43:46 - STRING (string)
Line 43:53 - IDENTIFIER (owner)
Line 43:58 - RPAREN ())
Line 43:60 - COLON (:)
Line 43:62 - IDENTIFIER (accountNumber)
Line 43:75 - LPAREN (()
Line 43:76 - IDENTIFIER (accountNumber)
Line 43:89 - RPAREN ())
Line 43:91 - LBRACE ({)
Line 44:9 - THIS (this)
Line 44:13 - DOT (.)
Line 44:14 - IDENTIFIER (owner)
Line 44:20 - EQUAL (=)
Line 44:22 - IDENTIFIER (owner)
Line 44:27 - SEMICOLON (;)
Line 45:9 - THIS (this)
Line 45:13 - DOT (.)
Line 45:14 - IDENTIFIER (balance)
Line 45:22 - EQUAL (=)
Line 45:24 - FLOAT_LIT (0.0)
Line 45:27 - SEMICOLON (;)
Line 46:5 - RBRACE (})
Line 48:5 - PUBLIC (public)
Line 48:12 - IDENTIFIER (void)
Line 48:17 - IDENTIFIER (deposit)
Line 48:24 - LPAREN (()
Line 48:25 - DOUBLE (double)
Line 48:32 - IDENTIFIER (amount)
Line 48:38 - RPAREN ())
Line 48:40 - LBRACE ({)
Line 49:9 - THIS (this)
Line 49:13 - DOT (.)
Line 49:14 - IDENTIFIER (balance)
Line 49:22 - PLUS_EQUALS (+=)
Line 49:25 - IDENTIFIER (amount)
Line 49:31 - SEMICOLON (;)
Line 50:5 - RBRACE (})
Line 52:5 - PROTECTED (protected)
Line 52:15 - BOOL (bool)
Line 52:20 - IDENTIFIER (withdraw)
Line 52:28 - LPAREN (()
Line 52:29 - DOUBLE (double)
Line 52:36 - IDENTIFIER (amount)
Line 52:42 - RPAREN ())
Line 52:44 - LBRACE ({)
Line 53:9 - IF (if)
Line 53:12 - LPAREN (()
Line 53:13 - IDENTIFIER (amount)
Line 53:20 - LESS_EQUAL (<=)
Line 53:23 - IDENTIFIER (balance)
Line 53:30 - RPAREN ())
Line 53:32 - LBRACE ({)
Line 54:13 - IDENTIFIER (balance)
Line 54:21 - MINUS_EQUALS (-=)
Line 54:24 - IDENTIFIER (amount)
Line 54:30 - SEMICOLON (;)
Line 55:13 - RETURN (return)
Line 55:20 - TRUE (true)
Line 55:24 - SEMICOLON (;)
Line 56:9 - RBRACE (})
Line 57:9 - RETURN (return)
Line 57:16 - FALSE (false)
Line 57:21 - SEMICOLON (;)
Line 58:5 - RBRACE (})
Line 59:1 - RBRACE (})
Line 60:1 - CLASS (class)
Line 60:7 - IDENTIFIER (X)
Line 60:9 - LBRACE ({)
Line 60:10 - RBRACE (})
Line 64:1 - CLASS (class)
Line 64:7 - IDENTIFIER (StrangeFormatting)
Line 64:25 - LBRACE ({)
Line 68:1 - RBRACE (})
Line 70:1 - CLASS (class)
Line 70:7 - IDENTIFIER (ProtectionDemo)
Line 70:22 - LBRACE ({)
Line 71:5 - PUBLIC (public)
Line 71:12 - INT (int)
Line 71:16 - IDENTIFIER (a)
Line 71:17 - SEMICOLON (;)
Line 72:5 - PROTECTED (protected)
Line 72:15 - INT (int)
Line 72:19 - IDENTIFIER (b)
Line 72:20 - SEMICOLON (;)
Line 73:5 - PRIVATE (private)
Line 73:13 - INT (int)
Line 73:17 - IDENTIFIER (c)
Line 73:18 - SEMICOLON (;)
Line 74:5 - PRIVATEW (privatew)
Line 74:14 - INT (int)
Line 74:18 - IDENTIFIER (d)
Line 74:19 - SEMICOLON (;)
Line 75:5 - PROTECTEDW (protectedw)
Line 75:16 - INT (int)
Line 75:20 - IDENTIFIER (e)
Line 75:21 - SEMICOLON (;)
Line 76:1 - RBRACE (})
Line 82:1 - CLASS (class)
Line 82:7 - IDENTIFIER (DuplicateFields)
Line 82:23 - LBRACE ({)
Line 83:5 - PUBLIC (public)
Line 83:12 - INT (int)
Line 83:16 - IDENTIFIER (x)
Line 83:17 - SEMICOLON (;)
Line 84:5 - PRIVATE (private)
Line 84:13 - INT (int)
Line 84:17 - IDENTIFIER (x)
Line 84:18 - SEMICOLON (;)
Line 85:1 - RBRACE (})
Line 94:1 - LET (let)
Line 94:5 - IDENTIFIER (obj)
Line 94:9 - EQUAL (=)
Line 94:11 - LBRACE ({)
Line 94:13 - IDENTIFIER (x)
Line 94:14 - COLON (:)
Line 94:16 - INTEGER (10)
Line 94:18 - COMMA (,)
Line 94:20 - IDENTIFIER (y)
Line 94:21 - COLON (:)
Line 94:23 - INTEGER (20)
Line 94:26 - RBRACE (})
Line 94:27 - SEMICOLON (;)
Line 95:1 - LET (let)
Line 95:5 - IDENTIFIER (inferredObj)
Line 95:17 - EQUAL (=)
Line 95:19 - LBRACE ({)
Line 95:21 - IDENTIFIER (name)
Line 95:25 - COLON (:)
Line 95:27 - STRING_LIT ("Zenith")
Line 95:35 - COMMA (,)
Line 95:37 - IDENTIFIER (version)
Line 95:44 - COLON (:)
Line 95:46 - FLOAT_LIT (1.0)
Line 95:50 - RBRACE (})
Line 95:51 - SEMICOLON (;)
Line 98:1 - FUN (fun)
Line 98:5 - IDENTIFIER (main)
Line 98:9 - LPAREN (()
Line 98:10 - RPAREN ())
Line 98:11 - LBRACE ({)
Line 99:5 - UNSAFE (unsafe)
Line 99:12 - LBRACE ({)
Line 100:9 - LET (let)
Line 100:13 - IDENTIFIER (ptr)
Line 100:17 - EQUAL (=)
Line 100:19 - IDENTIFIER (malloc)
Line 100:25 - LPAREN (()
Line 100:26 - INTEGER (1024)
Line 100:30 - RPAREN ())
Line 100:31 - SEMICOLON (;)
Line 101:9 - IDENTIFIER (ptr)
Line 101:12 - LBRACKET ([)
Line 101:13 - INTEGER (0)
Line 101:14 - RBRACKET (])
Line 101:16 - EQUAL (=)
Line 101:18 - INTEGER (42)
Line 101:20 - SEMICOLON (;)
Line 102:9 - IDENTIFIER (free)
Line 102:13 - LPAREN (()
Line 102:14 - IDENTIFIER (ptr)
Line 102:17 - RPAREN ())
Line 102:18 - SEMICOLON (;)
Line 103:5 - RBRACE (})
Line 104:1 - RBRACE (})
Line 106:1 - SCOPE (scope)
Line 106:7 - LBRACE ({)
Line 107:3 - LET (let)
Line 107:7 - IDENTIFIER (buffer)
Line 107:14 - EQUAL (=)
Line 107:16 - IDENTIFIER (malloc)
Line 107:22 - LPAREN (()
Line 107:23 - INTEGER (512)
Line 107:26 - RPAREN ())
Line 107:27 - SEMICOLON (;)
Line 109:1 - RBRACE (})
Line 112:1 - INT (int)
Line 112:5 - IDENTIFIER (x)
Line 112:7 - EQUAL (=)
Line 112:9 - INTEGER (10)
Line 112:11 - SEMICOLON (;)
Line 113:1 - STRUCT (struct)
Line 113:8 - IDENTIFIER (Point)
Line 113:14 - LBRACE ({)
Line 113:16 - INT (int)
Line 113:20 - IDENTIFIER (x)
Line 113:21 - SEMICOLON (;)
Line 113:23 - INT (int)
Line 113:27 - IDENTIFIER (y)
Line 113:28 - SEMICOLON (;)
Line 113:30 - RBRACE (})
Line 114:1 - IDENTIFIER (Point)
Line 114:7 - IDENTIFIER (p)
Line 114:9 - EQUAL (=)
Line 114:11 - LBRACE ({)
Line 114:12 - INTEGER (1)
Line 114:13 - COMMA (,)
Line 114:15 - INTEGER (2)
Line 114:16 - RBRACE (})
Line 114:17 - SEMICOLON (;)
Line 117:1 - LET (let)
Line 117:5 - IDENTIFIER (y)
Line 117:7 - EQUAL (=)
Line 117:9 - STRING_LIT ("dynamic")
Line 117:18 - SEMICOLON (;)
Line 118:1 - DYNAMIC (dynamic)
Line 118:9 - IDENTIFIER (z)
Line 118:11 - EQUAL (=)
Line 118:13 - FLOAT_LIT (3.14)
Line 118:17 - SEMICOLON (;)
Line 121:1 - FREEOBJ (freeobj)
Line 121:9 - IDENTIFIER (config)
Line 121:16 - EQUAL (=)
Line 121:18 - LBRACE ({)
Line 122:5 - IDENTIFIER (debug)
Line 122:10 - COLON (:)
Line 122:12 - TRUE (true)
Line 122:16 - COMMA (,)
Line 123:5 - IDENTIFIER (log)
Line 123:8 - COLON (:)
Line 123:10 - LPAREN (()
Line 123:11 - IDENTIFIER (msg)
Line 123:14 - RPAREN ())
Line 123:16 - LAMBARROW (=>)
Line 123:19 - IDENTIFIER (IO)
Line 123:21 - DOT (.)
Line 123:22 - IDENTIFIER (print)
Line 123:27 - LPAREN (()
Line 123:28 - IDENTIFIER (msg)
Line 123:31 - RPAREN ())
Line 124:1 - RBRACE (})
Line 124:2 - SEMICOLON (;)
Line 126:1 - FREEOBJ (freeobj)
Line 126:9 - IDENTIFIER (config2)
Line 126:17 - EQUAL (=)
Line 126:19 - FREEOBJ (freeobj)
Line 126:27 - LBRACE ({)
Line 127:5 - IDENTIFIER (debug)
Line 127:10 - COLON (:)
Line 127:12 - TRUE (true)
Line 127:16 - COMMA (,)
Line 128:5 - IDENTIFIER (log)
Line 128:8 - COLON (:)
Line 128:10 - LPAREN (()
Line 128:11 - IDENTIFIER (msg)
Line 128:14 - RPAREN ())
Line 128:16 - LAMBARROW (=>)
Line 128:19 - IDENTIFIER (IO)
Line 128:21 - DOT (.)
Line 128:22 - IDENTIFIER (print)
Line 128:27 - LPAREN (()
Line 128:28 - IDENTIFIER (msg)
Line 128:31 - RPAREN ())
Line 129:1 - RBRACE (})
Line 129:2 - SEMICOLON (;)
Line 131:1 - CLASS (class)
Line 131:7 - IDENTIFIER (Vehicle)
Line 131:15 - LBRACE ({)
Line 132:5 - PRIVATEW (privatew)
Line 132:14 - STRING (string)
Line 132:21 - IDENTIFIER (model)
Line 132:26 - SEMICOLON (;)
Line 133:5 - PUBLIC (public)
Line 133:12 - INT (int)
Line 133:16 - IDENTIFIER (year)
Line 133:20 - SEMICOLON (;)
Line 135:5 - PUBLIC (public)
Line 135:12 - IDENTIFIER (Vehicle)
Line 135:19 - LPAREN (()
Line 135:20 - STRING (string)
Line 135:27 - IDENTIFIER (m)
Line 135:28 - COMMA (,)
Line 135:30 - INT (int)
Line 135:34 - IDENTIFIER (y)
Line 135:35 - RPAREN ())
Line 135:37 - LBRACE ({)
Line 136:9 - THIS (this)
Line 136:13 - DOT (.)
Line 136:14 - IDENTIFIER (model)
Line 136:20 - EQUAL (=)
Line 136:22 - IDENTIFIER (m)
Line 136:23 - SEMICOLON (;)
Line 137:9 - THIS (this)
Line 137:13 - DOT (.)
Line 137:14 - IDENTIFIER (year)
Line 137:19 - EQUAL (=)
Line 137:21 - IDENTIFIER (y)
Line 137:22 - SEMICOLON (;)
Line 138:5 - RBRACE (})
Line 139:1 - RBRACE (})
Line 141:1 - STRUCT (struct)
Line 141:8 - IDENTIFIER (Color)
Line 141:14 - LBRACE ({)
Line 142:5 - BYTE (byte)
Line 142:10 - IDENTIFIER (r)
Line 142:11 - COMMA (,)
Line 142:13 - IDENTIFIER (g)
Line 142:14 - COMMA (,)
Line 142:16 - IDENTIFIER (b)
Line 142:17 - SEMICOLON (;)
Line 143:1 - RBRACE (})
Line 145:1 - UNION (union)
Line 145:7 - NUMBER (Number)
Line 145:14 - LBRACE ({)
Line 146:5 - INT (int)
Line 146:9 - IDENTIFIER (i)
Line 146:10 - SEMICOLON (;)
Line 147:5 - FLOAT (float)
Line 147:11 - IDENTIFIER (f)
Line 147:12 - SEMICOLON (;)
Line 148:1 - RBRACE (})
Line 150:1 - AT (@)
Line 150:2 - IDENTIFIER (Async)
Line 150:8 - FUN (fun)
Line 150:12 - IDENTIFIER (fetchData)
Line 150:21 - LPAREN (()
Line 150:22 - RPAREN ())
Line 150:24 - ARROW (->)
Line 150:27 - IDENTIFIER (Future)
Line 150:33 - LESS (<)
Line 150:34 - STRING (string)
Line 150:40 - GREATER (>)
Line 150:42 - LBRACE ({)
Line 151:5 - LET (let)
Line 151:9 - IDENTIFIER (data)
Line 151:14 - EQUAL (=)
Line 151:16 - IDENTIFIER (await)
Line 151:22 - IDENTIFIER (http)
Line 151:26 - DOT (.)
Line 151:27 - IDENTIFIER (get)
Line 151:30 - LPAREN (()
Line 151:31 - STRING_LIT ("example.com")
Line 151:44 - RPAREN ())
Line 151:45 - SEMICOLON (;)
Line 152:5 - RETURN (return)
Line 152:12 - IDENTIFIER (data)
Line 152:16 - SEMICOLON (;)
Line 153:1 - RBRACE (})
Line 155:1 - ACTOR (actor)
Line 155:7 - IDENTIFIER (Counter)
Line 155:15 - LBRACE ({)
Line 156:5 - PRIVATE (private)
Line 156:13 - INT (int)
Line 156:17 - IDENTIFIER (value)
Line 156:23 - EQUAL (=)
Line 156:25 - INTEGER (0)
Line 156:26 - SEMICOLON (;)
Line 158:5 - PUBLIC (public)
Line 158:12 - INT (int)
Line 158:16 - IDENTIFIER (increment)
Line 158:25 - LPAREN (()
Line 158:26 - RPAREN ())
Line 158:28 - LBRACE ({)
Line 159:9 - THIS (this)
Line 159:13 - DOT (.)
Line 159:14 - IDENTIFIER (value)
Line 159:19 - PLUS (+)
Line 159:20 - PLUS (+)
Line 159:21 - SEMICOLON (;)
Line 160:9 - RETURN (return)
Line 160:16 - THIS (this)
Line 160:20 - DOT (.)
Line 160:21 - IDENTIFIER (value)
Line 160:26 - SEMICOLON (;)
Line 161:5 - RBRACE (})
Line 162:1 - RBRACE (})
Line 163:1 - UNSAFE (unsafe)
Line 163:8 - LBRACE ({)
Line 164:5 - EXTERN (extern)
Line 164:12 - STRING_LIT ("C")
Line 164:16 - LBRACE ({)
Line 165:9 - FUN (fun)
Line 165:13 - IDENTIFIER (puts)
Line 165:17 - LPAREN (()
Line 165:18 - STAR (*)
Line 165:19 - CONST (const)
Line 165:25 - IDENTIFIER (char)
Line 165:30 - IDENTIFIER (s)
Line 165:31 - RPAREN ())
Line 165:32 - SEMICOLON (;)
Line 166:5 - RBRACE (})
Line 168:5 - IDENTIFIER (puts)
Line 168:9 - LPAREN (()
Line 168:10 - STRING_LIT ("Hello from C!")
Line 168:25 - RPAREN ())
Line 168:26 - SEMICOLON (;)
Line 169:1 - RBRACE (})
Line 172:1 - LET (let)
Line 172:5 - IDENTIFIER (name)
Line 172:10 - EQUAL (=)
Line 172:12 - STRING_LIT ("World")
Line 172:19 - SEMICOLON (;)
Line 173:1 - IDENTIFIER (IO)
Line 173:3 - DOT (.)
Line 173:4 - IDENTIFIER (print)
Line 173:9 - LPAREN (()
Line 173:10 - STRING_LIT ("Hello, ${name}!")
Line 173:27 - RPAREN ())
Line 173:28 - SEMICOLON (;)
Line 176:1 - IF (if)
Line 176:4 - LPAREN (()
Line 176:5 - IDENTIFIER (condition)
Line 176:14 - RPAREN ())
Line 177:5 - IDENTIFIER (IO)
Line 177:7 - DOT (.)
Line 177:8 - IDENTIFIER (print)
Line 177:13 - LPAREN (()
Line 177:14 - STRING_LIT ("No braces needed")
Line 177:32 - RPAREN ())
Line 177:33 - SEMICOLON (;)
Line 180:1 - HOIST (hoist)
Line 180:7 - VAR (var)
Line 180:11 - IDENTIFIER (x)
Line 180:13 - EQUAL (=)
Line 180:15 - INTEGER (10)
Line 180:17 - SEMICOLON (;)
Line 182:1 - CLASS (class)
